PERIODO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
jan/04;8.196.055;44.664.273;9.819.616;232.926.443;398.719.822;205.806.616;2.564.870.978;267.972.071;197.584.903;53.059.322;88.236.393;70.382.302;1.326.255.342;127.204.801;72.532.314;1.091.117.677;278.103.206;46.835.489;5.088.612.724;51.842.667;1.332.626.792;36.787.550;7.379.629;503.376.541;11.465.108.013;46.454.943;13.886.984
fev/04;6.880.044;29.343.728;198.376.255;6.290.900;317.779.982;149.876.852;2.128.428.567;243.644.577;141.207.679;47.332.172;953.210.609;48.982.403;65.741.472;124.917.038;53.488.216;267.191.333;26.725.736;811.913.683;4.857.791.704;35.710.038;35.422.148;5.104.733;1.034.001.963;399.482.587;40.350.559;9.213.532.665;9.546.390
mar/04;6.644.264;29.646.976;321.840.650;7.000.692;451.389.711;168.632.051;2.608.416.177;304.059.317;144.707.976;41.960.929;1.186.681.467;55.225.674;75.144.615;104.583.034;61.554.514;388.779.813;23.766.713;926.137.580;3.729.933.990;42.162.436;24.816.026;5.186.682;963.337.119;415.607.751;32.382.371;10.621.088.892;8.606.000
abr/04;7.932.322;39.141.205;265.230.821;6.980.236;414.844.245;212.638.649;2.229.928.611;325.129.916;185.709.675;94.485.403;1.213.257.502;88.051.955;92.370.348;112.095.574;59.558.130;270.261.773;31.528.822;1.147.683.298;4.962.079.701;57.561.931;29.387.874;10.104.887;1.348.818.535;545.912.119;45.863.202;10.626.919.124;13.806.360
mai/04;7.408.996;30.907.727;420.825.736;10.347.917;443.559.112;169.051.965;2.139.626.719;350.021.159;154.539.449;109.452.383;1.118.627.092;61.762.629;83.000.676;97.757.754;46.436.977;267.353.074;26.969.226;1.036.453.458;4.456.813.078;48.022.400;23.063.889;6.117.234;1.331.184.158;442.402.700;37.815.067;9.894.378.872;10.444.380
jun/04;6.926.111;32.309.999;371.183.156;9.159.299;427.845.564;165.752.466;2.405.058.150;426.546.963;160.988.005;53.031.721;1.204.937.305;62.845.298;82.280.935;104.420.226;46.704.886;269.725.670;26.253.244;1.101.845.245;4.722.898.311;69.989.818;26.575.503;5.934.059;1.444.863.819;460.936.168;37.288.263;10.793.611.980;11.048.517
jul/04;7.993.748;31.860.721;376.588.818;9.162.396;457.411.163;377.881.521;2.215.540.978;550.424.718;195.057.329;84.072.379;1.339.193.449;73.082.160;99.202.166;125.011.402;52.127.464;315.397.003;30.792.386;1.217.359.959;4.722.398.056;100.407.342;30.060.474;8.090.007;1.421.891.599;522.160.376;40.744.282;10.456.709.248;15.550.807
ago/04;7.621.515;29.707.075;272.978.015;18.692.246;465.624.146;169.753.742;2.213.451.471;450.092.860;186.107.928;116.382.466;1.405.381.429;63.474.119;101.965.457;115.896.900;46.799.297;312.667.710;27.674.057;1.050.871.095;4.644.814.123;50.878.093;38.685.982;7.681.544;1.319.849.462;490.998.404;34.735.333;10.299.341.657;12.887.602
set/04;7.241.813;28.407.026;366.952.544;9.108.487;499.995.874;191.700.425;2.417.805.986;469.257.066;151.222.911;166.278.686;1.298.867.113;76.302.141;111.772.548;145.841.415;54.752.736;344.460.880;25.904.189;1.064.389.541;4.762.463.960;68.034.557;24.775.871;6.423.237;1.289.322.774;535.294.529;41.514.522;10.682.780.417;13.878.502
out/04;7.985.406;36.163.264;405.111.467;8.713.008;514.336.118;239.050.221;2.201.982.408;544.714.816;193.315.121;105.484.680;1.524.736.182;70.035.976;89.679.564;117.066.003;49.975.703;337.933.772;31.299.084;1.096.675.455;4.633.915.608;55.414.697;27.524.252;7.722.492;1.436.012.258;604.907.329;45.547.015;10.932.284.522;16.697.886
