PERIODO;ICMS;IPVA;ITCMD;TAXAS;total
01/01/2004;3.575,10;1.445,60;17,6;148,8;5.187,10
01/02/2004;3.262,90;753,9;15,8;122,1;4.154,70
01/03/2004;3.469,40;566,5;42,8;146,9;4.225,60
01/04/2004;3.657,00;146,3;27,4;138,1;3.968,70
01/05/2004;3.667,40;133,3;29,6;152,8;3.983,10
01/06/2004;3.831,60;150,3;31,2;154,1;4.167,10
01/07/2004;3.743,00;128,6;21,2;145,9;4.038,60
01/08/2004;3.916,30;125,3;14,3;157,1;4.213,00
01/09/2004;4.041,50;140,8;11,4;139,7;4.333,50
01/10/2004;4.010,40;107,9;19,8;146,8;4.284,90
01/11/2004;4.130,00;100,7;23,9;164;4.418,50
01/12/2004;4.111,00;152,1;56,4;182,5;4.502,00
01/01/2005;4.208,90;1.680,90;11,6;167,6;6.068,90
01/02/2005;3.877,70;906,6;12,1;134,4;4.930,80
01/03/2005;3.987,80;676,2;25,7;173,3;4.863,00
01/04/2005;4.165,20;166,4;21,6;154,6;4.507,80
01/05/2005;4.065,20;155,4;29,4;167,5;4.417,50
01/06/2005;4.129,90;186,3;28,3;178,7;4.523,20
01/07/2005;4.103,80;144,1;26,9;169,6;4.444,40
01/08/2005;4.157,10;150,5;26,9;204,4;4.538,90
01/09/2005;4.308,00;186,6;29,8;179,3;4.703,60
01/10/2005;4.337,20;120,2;27,2;163,1;4.647,70
01/11/2005;4.367,00;119,2;24,5;175,6;4.686,30
01/12/2005;4.540,40;165,8;60,6;195,8;4.962,50
01/01/2006;4.500,90;2.037,90;15,3;198,6;6.752,60
01/02/2006;3.695,20;1.042,20;18,3;149,5;4.905,20
01/03/2006;4.782,90;812,1;27,3;177,1;5.799,40
01/04/2006;4.438,80;178,8;23;151,2;4.791,70
01/05/2006;4.527,00;187,6;44,7;209,2;4.968,60
01/06/2006;4.517,00;201,7;27;185,8;4.931,50
01/07/2006;4.389,30;174,9;32,1;199;4.795,40
01/08/2006;4.500,40;184,9;41,2;234,6;4.961,00
01/09/2006;4.669,90;225,2;38,2;201,5;5.134,90
01/10/2006;5.143,00;170,3;35;213,8;5.562,00
01/11/2006;5.576,90;166,5;32,6;203,3;5.979,40
01/12/2006;5.088,60;181,3;68,2;227,1;5.565,10
01/01/2007;4.980,60;2.443,70;23,1;238;7.685,50
01/02/2007;4.689,50;1.149,10;26,9;174,2;6.039,70
01/03/2007;4.611,00;1.058,00;62,2;206,5;5.937,70
01/04/2007;4.909,20;246,3;41,5;199,4;5.396,40
01/05/2007;5.092,60;227,2;37,1;227;5.584,00
01/06/2007;5.037,80;248,5;37,2;211,2;5.534,60
01/07/2007;5.114,90;207,8;38,9;240,6;5.602,20
01/08/2007;5.234,60;221,7;43,3;263,7;5.763,20
01/09/2007;5.780,80;257,1;36,4;231,7;6.306,10
01/10/2007;5.499,90;207,8;43,8;281,9;6.033,40
01/11/2007;5.588,60;182;36,3;224,5;6.031,50
01/12/2007;5.677,80;250,1;75,2;248,9;6.252,00
01/01/2008;5.935,20;2.841,40;24,6;269,7;9.070,90
01/02/2008;5.487,70;1.446,10;29;209,7;7.172,40
01/03/2008;5.330,40;1.098,90;38,7;220,1;6.688,10
01/04/2008;5.863,70;312,8;53,2;254,1;6.483,80
01/05/2008;6.184,40;257,6;38,6;234,2;6.714,80
01/06/2008;6.354,80;307;41,8;250,3;6.953,80
01/07/2008;6.433,10;279;93,8;280,1;7.086,10
01/08/2008;6.512,30;238,2;49,6;267,5;7.067,60
01/09/2008;6.844,80;299,7;45,4;285;7.475,00
01/10/2008;7.269,10;212,3;52,2;264;7.797,60
01/11/2008;6.385,50;162,8;55,4;229;6.832,80
01/12/2008;6.611,10;256,5;78,5;276,7;7.223,00
01/01/2009;5.191,40;3.322,60;22,4;272,7;8.809,20
01/02/2009;6.327,80;1.502,90;67,7;201,9;8.100,40
01/03/2009;5.958,60;1.364,10;50,4;267,6;7.640,70
01/04/2009;5.881,10;312,5;50,1;242,5;6.486,10
01/05/2009;6.020,00;269,6;39;258,1;6.586,70
01/06/2009;6.205,60;345;49,2;282;6.881,70
01/07/2009;6.381,80;277,1;45,1;289,5;6.993,60
01/08/2009;6.467,20;262,7;47,8;295,3;7.073,00
01/09/2009;6.793,80;347,4;54,8;306,8;7.502,80
01/10/2009;7.153,40;257,5;94,6;289,6;7.795,20
01/11/2009;7.122,00;239,2;64,6;269,3;7.695,00
01/12/2009;8.014,20;361,5;101,7;324,1;8.801,50
01/01/2010;6.659,00;3.491,90;29,1;300,5;10.480,50
01/02/2010;7.005,90;1.533,90;54,7;235,8;8.830,20
01/03/2010;7.257,40;1.420,50;69,6;315,6;9.063,20
01/04/2010;7.591,90;361,5;62,7;288,2;8.304,30
01/05/2010;7.245,10;312,3;133,2;293,2;7.983,90
01/06/2010;7.617,70;353,1;94,8;291,8;8.357,40
01/07/2010;7.492,40;301,8;77,1;305,3;8.176,60
01/08/2010;7.636,70;320,3;71,8;351,8;8.380,60
01/09/2010;7.772,60;366,5;66,2;327;8.532,30
01/10/2010;7.876,30;266,3;83,8;302,7;8.529,20
01/11/2010;7.993,80;272;89;322,7;8.677,50
01/12/2010;8.668,50;403,7;152,2;358,4;9.582,90
01/01/2011;7.700,80;3.891,00;46,5;344,7;11.983,00
01/02/2011;7.729,70;1.895,20;61,6;297,1;9.983,60
01/03/2011;7.902,40;1.460,70;90,2;317,8;9.771,10
01/04/2011;8.202,20;392,6;74,1;296,7;8.965,50
01/05/2011;8.292,90;385,9;87,4;357,7;9.123,90
01/06/2011;8.210,90;413,3;83,2;329,9;9.037,30
01/07/2011;8.148,30;323,7;67,2;349,5;8.888,80
01/08/2011;8.432,10;355,5;81,5;408,8;9.277,90
01/09/2011;8.788,00;394,4;79,8;379,9;9.642,10
01/10/2011;8.639,40;271,8;103,4;331,3;9.346,00
01/11/2011;8.528,10;279,7;103,3;362,4;9.273,50
01/12/2011;9.514,30;466,9;132,1;383;10.496,20
01/01/2012;8.429,70;4.397,00;57,2;370,8;13.254,80
01/02/2012;7.831,50;1.957,70;83,3;264,9;10.137,50
01/03/2012;8.656,20;1.702,40;100,7;308,2;10.767,40
01/04/2012;8.993,00;441,5;96,3;291,6;9.822,50
01/05/2012;8.672,60;402,9;109;325,4;9.510,00
01/06/2012;8.742,40;446,5;133,7;302,3;9.624,90
01/07/2012;8.660,10;383,7;105,1;338,5;9.487,40
01/08/2012;9.034,00;423,7;114,1;385;9.956,80
01/09/2012;9.095,50;420,4;90,8;313,8;9.920,50
01/10/2012;9.557,10;376,1;112,1;353,5;10.398,80
01/11/2012;9.166,90;299,9;102,4;306;9.875,20
01/12/2012;10.263,10;386,5;171,2;343;11.163,80
01/01/2013;8.810,70;4.672,70;69,8;408;13.961,10
01/02/2013;8.702,50;2.267,90;70,1;286;11.326,50
01/03/2013;8.857,80;1.604,80;97,2;319,4;10.879,30
01/04/2013;9.634,60;516,9;101,1;371,7;10.624,40
01/05/2013;9.896,10;441,8;97,9;369,8;10.805,60
01/06/2013;10.565,90;464,6;87,1;363,8;11.481,40
01/07/2013;9.750,80;412,1;104,5;381,3;10.648,70
01/08/2013;9.728,40;409,1;96,9;401,6;10.636,00
01/09/2013;10.508,30;448,6;132;377,7;11.466,70
01/10/2013;10.272,80;386,6;133,8;400;11.193,20
01/11/2013;9.774,30;312,9;205,7;336,8;10.629,70
01/12/2013;10.833,90;477,8;193,8;386,5;11.892,00
01/01/2014;9.863,50;5.247,60;61,6;455,2;15.627,90
01/02/2014;9.752,80;2.335,30;104;336,5;12.528,70
